positive_ratings,owners,average_playtime,median_playtime,price
86,3500000.0,387,217,1.99
94,350000.0,67,67,1.99
73,350000.0,3,3,3.99
84,350000.0,98,98,6.99
50,10000.0,0,0,5.99
76,35000.0,0,0,6.99
66,10000.0,0,0,5.99
33,35000.0,0,0,5.99
78,35000.0,102,102,5.99
67,35000.0,0,0,5.99
67,10000.0,0,0,5.99
40,10000.0,0,0,6.99
56,35000.0,0,0,5.99
73,35000.0,0,0,6.99
67,10000.0,0,0,5.99
50,35000.0,0,0,5.99
74,10000.0,0,0,5.99
78,10000.0,0,0,5.99
90,10000.0,0,0,5.99
81,10000.0,0,0,5.99
82,10000.0,0,0,5.99
74,10000.0,0,0,7.49
86,1500000.0,301,367,9.99
90,10000.0,0,0,1.99
83,75000.0,382,382,5.99
61,10000.0,0,0,16.99
73,150000.0,264,265,0.79
59,350000.0,9,10,1.69
52,350000.0,90,90,1.69
77,1500000.0,1,1,9.99
80,35000.0,0,0,15.49
78,3500000.0,128,75,0.0
82,75000.0,0,0,5.99
80,35000.0,0,0,1.49
74,35000.0,0,0,6.99
71,10000.0,0,0,6.99
82,1500000.0,313,105,9.99
84,750000.0,18,29,7.99
88,3500000.0,1142,764,14.99
88,3500000.0,260,172,9.99
68,350000.0,916,1046,9.99
82,750000.0,171,240,9.99
92,750000.0,2061,2889,14.99
93,1500000.0,612,633,7.99
89,3500000.0,295,178,14.99
83,750000.0,575,395,9.99
85,750000.0,948,86,0.0
86,750000.0,117,197,0.0
79,350000.0,971,1184,6.99
85,150000.0,701,1378,0.0
90,350000.0,7,7,5.99
83,350000.0,0,0,5.99
94,150000.0,1008,1008,7.99
87,75000.0,0,0,7.99
80,150000.0,14,14,9.99
79,75000.0,37,37,6.99
74,75000.0,126,126,3.99
47,150000.0,66,66,7.19
80,75000.0,0,0,6.99
69,35000.0,0,0,6.99
58,35000.0,1,1,3.99
96,750000.0,455,686,6.99
54,10000.0,0,0,6.99
69,350000.0,17,22,6.99
79,150000.0,373,373,3.99
52,150000.0,58,73,17.99
66,10000.0,0,0,7.99
76,10000.0,0,0,11.99
7,10000.0,0,0,7.99
54,150000.0,39,63,3.99
42,10000.0,0,0,3.99
25,10000.0,9,9,2.99
85,150000.0,164,164,4.29
91,150000.0,43,61,4.29
75,1500000.0,257,229,8.59
78,350000.0,305,399,8.59
37,10000.0,0,0,13.99
86,750000.0,716,779,7.99
89,750000.0,79,107,4.99
92,3500000.0,226,133,9.99
53,750000.0,0,0,4.99
90,1500000.0,186,249,14.99
76,10000.0,12,12,5.99
82,35000.0,14,14,5.99
93,350000.0,31,51,6.99
86,3500000.0,773,335,6.99
88,3500000.0,838,320,14.99
81,350000.0,490,716,14.99
65,35000.0,0,0,3.99
65,35000.0,0,0,3.99
93,1500000.0,389,498,35.96
72,1500000.0,310,298,12.99
78,350000.0,518,989,9.99
70,10000.0,0,0,2.99
66,10000.0,0,0,4.79
62,10000.0,0,0,4.99
76,35000.0,0,0,3.49
70,150000.0,0,0,13.99
72,350000.0,20,30,6.49
61,350000.0,15,16,6.49
85,1500000.0,868,532,13.99
88,35000.0,0,0,8.59
71,150000.0,384,655,8.59
82,350000.0,13,13,8.59
93,1500000.0,194,277,6.99
91,1500000.0,415,597,7.99
